Event	ID	Name			Wwise Object Path	Notes
	86685327	Play_Hagi_footstepsNew			\Default Work Unit\Play_Hagi_footstepsNew	
	98439365	Play_Player_footsteps			\Default Work Unit\Play_Player_footsteps	
	402628103	Play_Interactables_Tueren			\Default Work Unit\Play_Interactables_Tueren	
	634024223	Play_Player_jumps			\Default Work Unit\Play_Player_jumps	
	678858674	Play_Hagi_attack			\Default Work Unit\Play_Hagi_attack	
	873681583	Stop_Interactables_Kistens			\Default Work Unit\Stop_Interactables_Kistens	
	879053751	Play_Hagi_footsteps_raum			\Default Work Unit\Play_Hagi_footsteps_raum	
	1032010903	Play_Interactables_Schluesselfr			\Default Work Unit\Play_Interactables_Schluesselfr	
	1097980931	testEvent			\Default Work Unit\testEvent	
	1165667864	Play_Hagi_alert			\Default Work Unit\Play_Hagi_alert	
	1279939955	Play_Interactables_Kiste_scratch			\Default Work Unit\Play_Interactables_Kiste_scratch	
	1646878680	Play_Player_sneak			\Default Work Unit\Play_Player_sneak	
	1778537052	Stop_Interactables_Kiste_stone			\Default Work Unit\Stop_Interactables_Kiste_stone	
	2126903937	Play_Hagi_hunt			\Default Work Unit\Play_Hagi_hunt	
	2450182510	Play_Player_Steinchen_aufheben			\Default Work Unit\Play_Player_Steinchen_aufheben	
	2683057547	Play_Interactables_Kiste_destroy			\Default Work Unit\Play_Interactables_Kiste_destroy	
	2975096116	Play_Interactables_Kiste			\Default Work Unit\Play_Interactables_Kiste	
	3016071988	Stop_Interactables_Kisten			\Default Work Unit\Stop_Interactables_Kisten	
	3200425469	Play_Player_Footsteps_walk_stone			\Default Work Unit\Play_Player_Footsteps_walk_stone	
	3246801117	Stop_Interactables_Tueren			\Default Work Unit\Stop_Interactables_Tueren	
	3364721325	Play_Interactables_Druckplatte			\Default Work Unit\Play_Interactables_Druckplatte	
	3671174953	Play_Player_Steinchen_aufprall			\Default Work Unit\Play_Player_Steinchen_aufprall	

Switch Group	ID	Name			Wwise Object Path	Notes
	478119480	Groundtextures			\Default Work Unit\Groundtextures	

Switch	ID	Name	Switch Group			Notes
	1000122479	surfaceGravel	Groundtextures			
	2690969981	surfaceStone	Groundtextures			
	2991489160	surfaceGrass	Groundtextures			
	3916613861	surfaceBusch	Groundtextures			

Game Parameter	ID	Name			Wwise Object Path	Notes
	2554442747	rtpcOcclusion			\Default Work Unit\rtpcOcclusion	

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	93706430	SoundSeed Air Woosh	SoundSeed Air Woosh		\Actor-Mixer Hierarchy\Default Work Unit\Interactables\Interactables_Druckplatte\woosh\SoundSeed Air Woosh	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	40106	Playerjump_Kiesel5	C:\Schule\SJ1819\Jahresprojekt\MinoWwise\MinoWwise\.cache\Windows\SFX\Playerjump_Kiesel5_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Player_jumps\Player_jumps_kiesel\Playerjump_Kiesel5		160924
	2199263	Playersteps_Kiesel2	C:\Schule\SJ1819\Jahresprojekt\MinoWwise\MinoWwise\.cache\Windows\SFX\Playersteps_Kiesel2_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Player_footsteps\Player_Footsteps_walk_kiesel\Playersteps_Kiesel2		121256
	18956420	Playersteps_Busch8	C:\Schule\SJ1819\Jahresprojekt\MinoWwise\MinoWwise\.cache\Windows\SFX\Playersteps_Busch8_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Player_footsteps\Player_Footsteps_walk_busch\Playersteps_Busch8		108688
	22171991	Playersteps_Steinplatte9s	C:\Schule\SJ1819\Jahresprojekt\MinoWwise\MinoWwise\.cache\Windows\SFX\Playersteps_Steinplatte9s_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Player_sneak\Player_sneak_stone\Playersteps_Steinplatte9s		78424
	28426644	Hagibaer_Fs_Busch1	C:\Schule\SJ1819\Jahresprojekt\MinoWwise\MinoWwise\.cache\Windows\SFX\Hagibaer_Fs_Busch1_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemy\Hagi\Hagi_footsteps\Hagi_footstep_busch\Hagibaer_Fs_Busch1		259364
	31512524	Playersneak_Busch4	C:\Schule\SJ1819\Jahresprojekt\MinoWwise\MinoWwise\.cache\Windows\SFX\Playersneak_Busch4_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Player_sneak\Player_sneak_busch\Playersneak_Busch4		109568
	46570087	Steinchen_aufheben3	C:\Schule\SJ1819\Jahresprojekt\MinoWwise\MinoWwise\.cache\Windows\SFX\Steinchen_aufheben3_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Player_Steinchen\Player_Steinchen_aufheben\Steinchen_aufheben3		300032
	68404337	Playersteps_Gras4s	C:\Schule\SJ1819\Jahresprojekt\MinoWwise\MinoWwise\.cache\Windows\SFX\Playersteps_Gras4s_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Player_sneak\Player_sneak_grass\Playersteps_Gras4s		129160
	95168318	Playersteps_Steinplatte2s	C:\Schule\SJ1819\Jahresprojekt\MinoWwise\MinoWwise\.cache\Windows\SFX\Playersteps_Steinplatte2s_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Player_sneak\Player_sneak_stone\Playersteps_Steinplatte2s		92012
	103392220	Playersteps_Kiesel2s	C:\Schule\SJ1819\Jahresprojekt\MinoWwise\MinoWwise\.cache\Windows\SFX\Playersteps_Kiesel2s_56D34C19.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Player_sneak\Player_sneak_kiesel\Playersteps_Kiesel2s		121256
